Track Name,Method Name,Estimate Label,Window Size (s),Window Raster (s),Measurement Index,SDR (dB)
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,75,4.027309510219746
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,76,2.8217908038874167
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,77,1.9780321436038868
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,78,4.524960506126254
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,79,6.145404037337739
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,80,6.402543977691119
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,81,6.452416554300403
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,82,6.403308541140735
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,83,6.45715274303998
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,84,8.246053326953858
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,85,9.159904405433444
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,86,7.789256939145284
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,87,6.436287742707672
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,88,6.671849175930335
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,89,7.415511252421069
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,90,7.992314165192266
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,91,7.429212779644815
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,92,6.607041300558328
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,93,5.05322560659902
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,94,4.034839528809009
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,95,3.590288138725387
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,96,2.193792031142355
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,97,2.2837367357901877
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,98,3.1598599710209356
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,99,3.7363189566388626
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,100,3.9298027138694858
